"","intervention","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","default"
"1","Restaurant closure",0.193851977003589,0.196029462282447,0.193821441648547,0.196010527633176,0.196029462282447,0.196823021938176,0.196678562559516,0.196890650716588,0.196860544440896,0.196064307553767,0.195011656081721,0.193851977003589,0.196010527633176,0.196697516212104,0.196029462282447,0.193838211687403,0.196877126963265,0.196715819281124,0.196715819281124,0.194957590434257,0.196029462282447,0.196860544440896,0.193821441648547,0.195025309791072,0.196715819281124,0.193783718899246,0.196842129614659,0.196890650716588,0.196678562559516,0.196715819281124,0.196890650716588,0.193783718899246,0.196877126963265,0.196732344981637,0.193851977003589,0.195025309791073,0.193783718899246,0.193783718899246,0.196745876014782,0.196697516212104,0.193802898142237,0.196010527633176,0.193802898142237,0.196047763591474,0.196860544440896,0.196010527633176,0.196047763591474,0.196715819281124,0.193838211687403,0.196029462282447,0.196823021938176,0.193802898142237,0.196745876014782,0.194976620743021,0.196010527633176,0.196823021938176,0.194957590434257,0.196715819281124,0.196715819281124,0.196890650716588,0.193783718899246,0.194995019009531,0.196715819281124,0.196877126963265,0.196010527633176,0.196010527633176,0.196732344981637,0.196064307553767,0.196877126963265,0.193838211687403,0.196029462282447,0.193838211687403,0.194995019009531,0.196715819281124,0.196064307553767,0.194995019009531,0.196877126963265,0.196010527633176,0.193783718899246,0.196823021938176,0.196732344981637,0.196047763591474,0.196697516212104,0.193851977003589,0.193851977003589,0.196842129614659,0.196029462282447,0.196860544440896,0.194995019009531,0.196715819281124,0.196064307553767,0.196860544440896,0.194957590434257,0.196842129614659,0.195011656081721,0.193838211687403,0.193802898142237,0.193838211687403,0.196047763591474,0.196047763591474
"2","Entertainment venue closure",0.0126151736926923,0.0250419512258883,-0.017378101290841,0.0275537749811504,0.0250419512258883,0.0190055584590395,0.0218120824263488,0.00399231756521365,-0.0270749435581832,0.0101634251907882,0.00613464696646324,0.0126151736926923,0.0275537749811504,0.0197755373333828,0.0250419512258883,0.0106122017115993,0.00280645862162057,-0.0257188725900936,-0.0257188725900936,0.0240670734491209,0.0250419512258882,-0.027074943558183,-0.017378101290841,0.00796510375081983,-0.0257188725900936,0.0288737931996721,0.0169815489791701,0.00399231756521326,0.0218120824263486,-0.0257188725900936,0.00399231756521326,0.0288737931996721,0.00280645862162057,0.00524024533679982,0.0126151736926923,0.00796510375081953,0.0288737931996721,0.0288737931996721,0.00667352918756456,0.0197755373333827,0.0260191423909528,0.0275537749811503,0.0260191423909528,-0.0218898576798612,-0.027074943558183,0.0275537749811504,-0.0218898576798612,-0.0257188725900936,0.0106122017115993,0.0250419512258882,0.0190055584590394,0.0260191423909528,0.00667352918756456,0.021352296847079,0.0275537749811503,0.0190055584590394,0.0240670734491209,-0.0257188725900936,-0.0257188725900936,0.00399231756521326,0.0288737931996721,-0.0220531341197988,-0.0257188725900936,0.00280645862162057,0.0275537749811503,0.0275537749811503,0.00524024533679996,0.0101634251907881,0.00280645862162057,0.0106122017115993,0.0250419512258882,0.0106122017115993,-0.0220531341197988,-0.0257188725900936,0.0101634251907881,-0.0220531341197988,0.00280645862162057,0.0275537749811504,0.0288737931996721,0.0190055584590394,0.00524024533679982,-0.0218898576798612,0.0197755373333827,0.012615173692692,0.012615173692692,0.0169815489791701,0.0250419512258882,-0.027074943558183,-0.022053134119799,-0.0257188725900936,0.0101634251907881,-0.027074943558183,0.0240670734491209,0.0169815489791701,0.00613464696646308,0.0106122017115993,0.0260191423909528,0.0106122017115993,-0.0218898576798612,-0.0218898576798614
"3","Cultural venue closure",-0.134325173855426,-0.134485333602893,-0.137457698887278,-0.134540123296632,-0.134485333602893,-0.134540123296632,-0.134540123296632,-0.134325173855426,-0.137457698887278,-0.134377739006875,-0.134377739006875,-0.134325173855426,-0.134540123296632,-0.134485333602893,-0.134485333602893,-0.134377739006876,-0.134377739006876,-0.137457698887278,-0.137457698887278,-0.134540123296632,-0.134485333602893,-0.137457698887278,-0.137457698887278,-0.134325173855426,-0.137457698887278,-0.134540123296632,-0.134485333602893,-0.134325173855425,-0.134540123296632,-0.137457698887278,-0.134325173855425,-0.134540123296632,-0.134377739006876,-0.134377739006876,-0.134325173855426,-0.134325173855425,-0.134540123296632,-0.134540123296632,-0.134325173855425,-0.134485333602893,-0.134485333602893,-0.134540123296632,-0.134485333602893,-0.137457698887278,-0.137457698887278,-0.134540123296632,-0.137457698887278,-0.137457698887278,-0.134377739006876,-0.134485333602893,-0.134540123296632,-0.134485333602893,-0.134325173855425,-0.134485333602893,-0.134540123296632,-0.134540123296632,-0.134540123296632,-0.137457698887278,-0.137457698887278,-0.134325173855425,-0.134540123296632,-0.137457698887278,-0.137457698887278,-0.134377739006876,-0.134540123296632,-0.134540123296632,-0.134377739006875,-0.134377739006876,-0.134377739006876,-0.134377739006876,-0.134485333602893,-0.134377739006876,-0.137457698887278,-0.137457698887278,-0.134377739006876,-0.137457698887278,-0.134377739006876,-0.134540123296632,-0.134540123296632,-0.134540123296632,-0.134377739006876,-0.137457698887278,-0.134485333602893,-0.134325173855425,-0.134325173855425,-0.134485333602893,-0.134485333602893,-0.137457698887278,-0.137457698887278,-0.137457698887278,-0.134377739006876,-0.137457698887278,-0.134540123296632,-0.134485333602893,-0.134377739006876,-0.134377739006876,-0.134485333602893,-0.134377739006876,-0.137457698887278,-0.137457698887278
"4","Religious place closure",0.380427115954285,0.376692008587813,0.380865302838039,0.376692008587813,0.376692008587813,0.375068503657034,0.375706997887828,0.374630410939883,0.375068503657034,0.376482604716943,0.378065447554895,0.380427115954285,0.376692008587813,0.375706997887828,0.376692008587813,0.380655900443614,0.374859212487498,0.375706997887828,0.375706997887828,0.378274900220645,0.376692008587813,0.375068503657034,0.380865302838039,0.377836549073375,0.375706997887828,0.380865302838039,0.375068503657035,0.374630410939884,0.375706997887828,0.375706997887828,0.374630410939884,0.380865302838039,0.374859212487498,0.375497654825481,0.380427115954285,0.377836549073375,0.380865302838039,0.380865302838039,0.375268812981774,0.375706997887828,0.380865302838039,0.376692008587813,0.380865302838039,0.376692008587812,0.375068503657034,0.376692008587813,0.376692008587812,0.375706997887828,0.380655900443614,0.376692008587813,0.375068503657035,0.380865302838039,0.375268812981774,0.378274900220645,0.376692008587813,0.375068503657035,0.378274900220645,0.375706997887828,0.375706997887828,0.374630410939884,0.380865302838039,0.378274900220644,0.375706997887828,0.374859212487498,0.376692008587813,0.376692008587813,0.375497654825483,0.376482604716943,0.374859212487498,0.380655900443614,0.376692008587813,0.380655900443614,0.378274900220644,0.375706997887828,0.376482604716943,0.378274900220644,0.374859212487498,0.376692008587813,0.380865302838039,0.375068503657035,0.375497654825481,0.376692008587812,0.375706997887828,0.380427115954286,0.380427115954286,0.375068503657035,0.376692008587813,0.375068503657034,0.378274900220644,0.375706997887828,0.376482604716943,0.375068503657034,0.378274900220645,0.375068503657035,0.378065447554894,0.380655900443614,0.380865302838039,0.380655900443614,0.376692008587812,0.376692008587812
